"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*051wv*","Pete Crow-Armstrong","CHC","OF","1","jd","24","@MIL Wed 7:40PM","100","100%","0%"
"*051eh*","Kevin Kelly","TB","RP","2","2xChamp","28","@ATL Wed 7:15PM","100","53%","-1%"
"*01uca*","Chris Sale","ATL","SP","3","BHB","37","TB Wed 7:15PM","98.36","100%","0%"
"*061yu*","Jacob Misiorowski","MIL","SP","4","MG","24","CHC Wed 7:40PM","97.96","100%","0%"
"*04eqa*","Garrett Whitlock","BOS","RP","5","2xChamp","30","LAA Wed 6:45PM","97.4","61%","0%"
"*041vm*","Dylan Lee","ATL","RP","6","BVB","32","TB Wed 7:15PM","96.87","57%","-3%"
"*05u6q*","Cam Schlittler","NYY","SP","7","BVB","25","COL Wed 7:05PM","96.46","99%","0%"
"*051bm*","Louis Varland","TOR","RP","8","BHB","28","TOR 0<br/>@ATH 2 F","96.18","89%","0%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","9","Ka-Chow","28","CIN Wed 10:10PM","94.97","100%","0%"
"*04eee*","Drew Rasmussen","TB","SP","10","ThePhils","31","@ATL Wed 7:15PM","94.52","99%","0%"
"*03dfa*","Tanner Scott","LAD","RP","11","Ka-Chow","32","CIN Wed 10:10PM","94.12","82%","-1%"
"*052c8*","Cristopher Sanchez","PHI","SP","12","ThePhils","29","HOU Wed 6:40PM","93.92","100%","0%"
"*02myt*","Steven Okert","HOU","RP","13","ThePhils","35","@PHI Wed 6:40PM","93.85","33%","-6%"
"*05ucd*","Mason Miller","SD","RP","14","BVB","28","WSH 2<br/>@SD 5","93.27","99%","0%"
"*0516x*","Brent Headrick","NYY","RP","15","jd","28","COL Wed 7:05PM","93.21","52%","-1%"
"*04apj*","Jhoan Duran","PHI","RP","16","BVB","28","HOU Wed 6:40PM","92.72","99%","0%"
"*043ia*","Adrian Morejon","SD","RP","17","2xChamp","27","WSH 2<br/>@SD 5","92.42","66%","-1%"
"*04eor*","Cade Smith","CLE","RP","18","Ka-Chow","27","@BAL Wed 6:35PM","91.37","99%","0%"
"*03dau*","Trevor Megill","MIL","RP","19","NYX","32","CHC Wed 7:40PM","90.64","95%","0%"
"*041r1*","Jesus Luzardo","PHI","SP","20","2xChamp","28","HOU Wed 6:40PM","90.49","100%","0%"
"*04aqc*","David Bednar","NYY","RP","21","2xChamp","31","COL Wed 7:05PM","90.48","98%","0%"
"*04ptt*","Tarik Skubal","LAD","SP","22","BVB","29","CIN Wed 10:10PM","90.41","100%","0%"
"*04qk8*","CJ Abrams","WSH","SS,INF","23","THG","25","WSH 2<br/>@SD 5","90.31","100%","0%"
"*0260v*","Sonny Gray","BOS","SP","24","Ka-Chow","36","LAA Wed 6:45PM","90.03","99%","0%"
"*05gbf*","Jordan Walker","STL","OF","25","BHB","24","STL 6<br/>@SF 1","89.4","96%","0%"
"*041w4*","Bryan Baker","TB","RP","26","BHB","31","@ATL Wed 7:15PM","88.9","87%","-1%"
"*03div*","Jake Latz","TEX","SP,RP","27","AF","30","TEX 1<br/>@SEA 3","88.59","87%","0%"
"*02c4q*","Nick Martinez","TB","SP,RP","28","XBLADZ","36","@ATL Wed 7:15PM","88.45","92%","-1%"
"*05tzn*","Parker Messick","CLE","SP","29","THG","25","@BAL Wed 6:35PM","88.27","98%","0%"
"*03zbh*","Fernando Tatis Jr.","SD","2B,INF,OF","30","Ka-Chow","27","WSH 2<br/>@SD 5","87.76","100%","0%"
"*04pmq*","Braxton Ashcraft","PIT","SP,RP","31","NYX","26","@CHW Wed 7:40PM","87.69","97%","0%"
"*0473n*","Tyler Wells","TB","SP,RP","32","AF","32","@ATL Wed 7:15PM","87.52","47%","0%"
"*06guh*","Brandyn Garcia","ARI","RP","33","2xChamp","26","@KC Wed 7:40PM","87.41","37%","-2%"
"*05u9o*","Sal Stewart","CIN","1B,3B,INF","34","iKnoBall","22","@LAD Wed 10:10PM","87.16","99%","0%"
"*02iug*","Michael Wacha","KC","SP","35","MG","35","ARI Wed 7:40PM","87.12","96%","0%"
"*03caf*","Foster Griffin","CLE","SP,RP","36","iKnoBall","31","@BAL Wed 6:35PM","86.64","92%","0%"
"*04355*","Yordan Alvarez","HOU","OF","37","jd","29","@PHI Wed 6:40PM","86.07","100%","0%"
"*05xch*","Junior Caminero","TB","3B,INF","38","ThePhils","23","@ATL Wed 7:15PM","85.98","100%","0%"
"*066er*","Grant Taylor","CHW","SP,RP","39","AF","24","PIT Wed 7:40PM","85.95","81%","-1%"
"*05gef*","Cade Cavalli","WSH","SP","40","BHB","28","WSH 2<br/>@SD 5","85.86","94%","0%"
"*05uo2*","Logan Henderson","MIL","SP","41","iKnoBall","24","CHC Wed 7:40PM","85.83","95%","0%"
"*05udp*","Elly De La Cruz","CIN","SS,INF","42","BHB","24","@LAD Wed 10:10PM","85.49","100%","0%"
"*05nso*","Abner Uribe","MIL","RP","43","NYX","26","CHC Wed 7:40PM","85.41","74%","0%"
"*02n96*","Josh Hader","HOU","RP","44","Ka-Chow","32","@PHI Wed 6:40PM","85.35","97%","0%"
"*05y5d*","Bradgley Rodriguez","SD","SP,RP","45","2xChamp","22","WSH 2<br/>@SD 5","85.14","30%","0%"
"*029si*","Eduardo Rodriguez","ARI","SP","46","XBLADZ","33","@KC Wed 7:40PM","85.03","93%","0%"
"*04ru7*","Miguel Vargas","CHW","1B,3B,INF","47","BHB","26","PIT Wed 7:40PM","85.02","98%","0%"
"*03btv*","Sandy Alcantara","MIA","SP","48","2xChamp","31","NYM Wed 6:40PM","84.96","99%","0%"
"*064zm*","Didier Fuentes","ATL","SP,RP","49","AF","21","TB Wed 7:15PM","84.93","60%","-1%"
"*0374m*","Tyler Rogers","TOR","RP","50","ThePhils","35","TOR 0<br/>@ATH 2 F","84.68","49%","0%"
"*05y62*","Bryan Woo","SEA","SP","51","NYX","26","TEX 1<br/>@SEA 3","84.36","99%","0%"
"*04rzp*","Rico Garcia","BAL","RP","52","jd","32","CLE Wed 6:35PM","84.27","48%","-1%"
