round,slot,team,original_owner
1,1,Acuna & Friends,Acuna & Friends
1,2,Ball Knower,Ball Knower
1,3,Cruz Control,Cruz Control
1,4,For Whom Skubal Tolls,For Whom Skubal Tolls
1,5,jd,jd
1,6,Lightning McLean,Lightning McLean
1,7,Moonlight Graham,Moonlight Graham
1,8,X BLADZ,My Filipina ❤️'s Dried Fish
1,9,New York No Sox,New York No Sox
1,10,The Boss Hogg Brigade,The Boss Hogg Brigade
1,11,The Hunter Gatherers,The Hunter Gatherers
1,12,X BLADZ,X BLADZ
2,1,Acuna & Friends,Acuna & Friends
2,2,Ball Knower,Ball Knower
2,3,Cruz Control,Cruz Control
2,4,For Whom Skubal Tolls,For Whom Skubal Tolls
2,5,jd,jd
2,6,Ball Knower,Lightning McLean
2,7,Moonlight Graham,Moonlight Graham
2,8,The Hunter Gatherers,My Filipina ❤️'s Dried Fish
2,9,New York No Sox,New York No Sox
2,10,Cruz Control,The Boss Hogg Brigade
2,11,The Hunter Gatherers,The Hunter Gatherers
2,12,X BLADZ,X BLADZ
3,1,The Boss Hogg Brigade,Acuna & Friends
3,2,New York No Sox,Ball Knower
3,3,Cruz Control,Cruz Control
3,4,For Whom Skubal Tolls,For Whom Skubal Tolls
3,5,jd,jd
3,6,Lightning McLean,Lightning McLean
3,7,Moonlight Graham,Moonlight Graham
3,8,Moonlight Graham,My Filipina ❤️'s Dried Fish
3,9,New York No Sox,New York No Sox
3,10,X BLADZ,The Boss Hogg Brigade
3,11,The Hunter Gatherers,The Hunter Gatherers
3,12,X BLADZ,X BLADZ
4,1,Acuna & Friends,Acuna & Friends
4,2,Ball Knower,Ball Knower
4,3,Cruz Control,Cruz Control
4,4,For Whom Skubal Tolls,For Whom Skubal Tolls
4,5,The Hunter Gatherers,jd
4,6,Ball Knower,Lightning McLean
4,7,Moonlight Graham,Moonlight Graham
4,8,X BLADZ,My Filipina ❤️'s Dried Fish
4,9,New York No Sox,New York No Sox
4,10,Ball Knower,The Boss Hogg Brigade
4,11,The Hunter Gatherers,The Hunter Gatherers
4,12,X BLADZ,X BLADZ
5,1,Acuna & Friends,Acuna & Friends
5,2,Ball Knower,Ball Knower
5,3,Cruz Control,Cruz Control
5,4,For Whom Skubal Tolls,For Whom Skubal Tolls
5,5,jd,jd
5,6,Cruz Control,Lightning McLean
5,7,Moonlight Graham,Moonlight Graham
5,8,Ball Knower,My Filipina ❤️'s Dried Fish
5,9,New York No Sox,New York No Sox
5,10,Cruz Control,The Boss Hogg Brigade
5,11,The Hunter Gatherers,The Hunter Gatherers
5,12,X BLADZ,X BLADZ
6,1,Acuna & Friends,Acuna & Friends
6,2,Ball Knower,Ball Knower
6,3,Cruz Control,Cruz Control
6,4,For Whom Skubal Tolls,For Whom Skubal Tolls
6,5,jd,jd
6,6,Lightning McLean,Lightning McLean
6,7,Moonlight Graham,Moonlight Graham
6,8,Moonlight Graham,My Filipina ❤️'s Dried Fish
6,9,New York No Sox,New York No Sox
6,10,The Boss Hogg Brigade,The Boss Hogg Brigade
6,11,The Hunter Gatherers,The Hunter Gatherers
6,12,X BLADZ,X BLADZ
7,1,Acuna & Friends,Acuna & Friends
7,2,Ball Knower,Ball Knower
7,3,Cruz Control,Cruz Control
7,4,For Whom Skubal Tolls,For Whom Skubal Tolls
7,5,jd,jd
7,6,Lightning McLean,Lightning McLean
7,7,Moonlight Graham,Moonlight Graham
7,8,The Hunter Gatherers,My Filipina ❤️'s Dried Fish
7,9,New York No Sox,New York No Sox
7,10,X BLADZ,The Boss Hogg Brigade
7,11,The Hunter Gatherers,The Hunter Gatherers
7,12,X BLADZ,X BLADZ
8,1,Acuna & Friends,Acuna & Friends
8,2,Ball Knower,Ball Knower
8,3,Cruz Control,Cruz Control
8,4,For Whom Skubal Tolls,For Whom Skubal Tolls
8,5,jd,jd
8,6,Lightning McLean,Lightning McLean
8,7,Moonlight Graham,Moonlight Graham
8,8,Lightning McLean,My Filipina ❤️'s Dried Fish
8,9,New York No Sox,New York No Sox
8,10,The Boss Hogg Brigade,The Boss Hogg Brigade
8,11,The Hunter Gatherers,The Hunter Gatherers
8,12,X BLADZ,X BLADZ
9,1,Acuna & Friends,Acuna & Friends
9,2,Ball Knower,Ball Knower
9,3,Cruz Control,Cruz Control
9,4,For Whom Skubal Tolls,For Whom Skubal Tolls
9,5,Acuna & Friends,jd
9,6,Lightning McLean,Lightning McLean
9,7,Moonlight Graham,Moonlight Graham
9,8,Cruz Control,My Filipina ❤️'s Dried Fish
9,9,The Hunter Gatherers,New York No Sox
9,10,My Filipina ❤️'s Dried Fish,The Boss Hogg Brigade
9,11,The Hunter Gatherers,The Hunter Gatherers
9,12,X BLADZ,X BLADZ
10,1,Acuna & Friends,Acuna & Friends
10,2,Ball Knower,Ball Knower
10,3,Cruz Control,Cruz Control
10,4,For Whom Skubal Tolls,For Whom Skubal Tolls
10,5,jd,jd
10,6,Lightning McLean,Lightning McLean
10,7,Moonlight Graham,Moonlight Graham
10,8,Moonlight Graham,My Filipina ❤️'s Dried Fish
10,9,New York No Sox,New York No Sox
10,10,The Boss Hogg Brigade,The Boss Hogg Brigade
10,11,The Hunter Gatherers,The Hunter Gatherers
10,12,X BLADZ,X BLADZ
11,1,Acuna & Friends,Acuna & Friends
11,2,Ball Knower,Ball Knower
11,3,Cruz Control,Cruz Control
11,4,For Whom Skubal Tolls,For Whom Skubal Tolls
11,5,jd,jd
11,6,Lightning McLean,Lightning McLean
11,7,Moonlight Graham,Moonlight Graham
11,8,Moonlight Graham,My Filipina ❤️'s Dried Fish
11,9,New York No Sox,New York No Sox
11,10,The Boss Hogg Brigade,The Boss Hogg Brigade
11,11,The Hunter Gatherers,The Hunter Gatherers
11,12,X BLADZ,X BLADZ
12,1,The Boss Hogg Brigade,Acuna & Friends
12,2,Ball Knower,Ball Knower
12,3,Cruz Control,Cruz Control
12,4,For Whom Skubal Tolls,For Whom Skubal Tolls
12,5,jd,jd
12,6,The Hunter Gatherers,Lightning McLean
12,7,Moonlight Graham,Moonlight Graham
12,8,The Hunter Gatherers,My Filipina ❤️'s Dried Fish
12,9,New York No Sox,New York No Sox
12,10,The Boss Hogg Brigade,The Boss Hogg Brigade
12,11,The Hunter Gatherers,The Hunter Gatherers
12,12,X BLADZ,X BLADZ
13,1,Acuna & Friends,Acuna & Friends
13,2,Ball Knower,Ball Knower
13,3,Cruz Control,Cruz Control
13,4,For Whom Skubal Tolls,For Whom Skubal Tolls
13,5,jd,jd
13,6,Lightning McLean,Lightning McLean
13,7,Moonlight Graham,Moonlight Graham
13,8,My Filipina ❤️'s Dried Fish,My Filipina ❤️'s Dried Fish
13,9,New York No Sox,New York No Sox
13,10,Cruz Control,The Boss Hogg Brigade
13,11,The Hunter Gatherers,The Hunter Gatherers
13,12,X BLADZ,X BLADZ
14,1,Acuna & Friends,Acuna & Friends
14,2,Ball Knower,Ball Knower
14,3,Cruz Control,Cruz Control
14,4,For Whom Skubal Tolls,For Whom Skubal Tolls
14,5,The Hunter Gatherers,jd
14,6,Lightning McLean,Lightning McLean
14,7,Moonlight Graham,Moonlight Graham
14,8,My Filipina ❤️'s Dried Fish,My Filipina ❤️'s Dried Fish
14,9,Ball Knower,New York No Sox
14,10,The Boss Hogg Brigade,The Boss Hogg Brigade
14,11,The Hunter Gatherers,The Hunter Gatherers
14,12,X BLADZ,X BLADZ
15,1,Acuna & Friends,Acuna & Friends
15,2,Ball Knower,Ball Knower
15,3,Cruz Control,Cruz Control
15,4,For Whom Skubal Tolls,For Whom Skubal Tolls
15,5,jd,jd
15,6,Lightning McLean,Lightning McLean
15,7,Moonlight Graham,Moonlight Graham
15,8,My Filipina ❤️'s Dried Fish,My Filipina ❤️'s Dried Fish
15,9,New York No Sox,New York No Sox
15,10,Ball Knower,The Boss Hogg Brigade
15,11,The Hunter Gatherers,The Hunter Gatherers
15,12,X BLADZ,X BLADZ
16,1,My Filipina ❤️'s Dried Fish,Acuna & Friends
16,2,Ball Knower,Ball Knower
16,3,Cruz Control,Cruz Control
16,4,My Filipina ❤️'s Dried Fish,For Whom Skubal Tolls
16,5,jd,jd
16,6,Lightning McLean,Lightning McLean
16,7,Moonlight Graham,Moonlight Graham
16,8,My Filipina ❤️'s Dried Fish,My Filipina ❤️'s Dried Fish
16,9,New York No Sox,New York No Sox
16,10,The Hunter Gatherers,The Boss Hogg Brigade
16,11,The Hunter Gatherers,The Hunter Gatherers
16,12,X BLADZ,X BLADZ
17,1,New York No Sox,Acuna & Friends
17,2,Ball Knower,Ball Knower
17,3,Cruz Control,Cruz Control
17,4,For Whom Skubal Tolls,For Whom Skubal Tolls
17,5,jd,jd
17,6,Lightning McLean,Lightning McLean
