year,round,pick_in_round,ov_pick,pos,player,mlb_team,canonical_team
2026,1,1,1,OF,Corbin Carroll,ARI,New York No Sox
2026,1,2,2,OF,Aaron Judge,NYY,My Filipina ❤️'s Dried Fish
2026,1,3,3,OF,Fernando Tatis Jr.,SD,Ball Knower
2026,1,4,4,OF,Yordan Alvarez,HOU,jd
2026,1,5,5,1B,Vladimir Guerrero Jr.,TOR,The Hunter Gatherers
2026,1,6,6,OF,Ronald Acuna Jr.,ATL,Acuna & Friends
2026,1,7,7,3B,Jose Ramirez,CLE,The Boss Hogg Brigade
2026,1,8,8,OF,Julio Rodriguez,SEA,Moonlight Graham
2026,1,9,9,SS,Elly De La Cruz,CIN,Cruz Control
2026,1,10,10,UT,Shohei Ohtani-H,LAD,X BLADZ
2026,1,11,11,OF,Juan Soto,NYM,Lightning McLean
2026,1,12,12,SS,Bobby Witt Jr.,KC,For Whom Skubal Tolls
2026,2,1,13,SP,Tarik Skubal,DET,For Whom Skubal Tolls
2026,2,2,14,SP,Yoshinobu Yamamoto,LAD,Lightning McLean
2026,2,3,15,SS,Gunnar Henderson,BAL,X BLADZ
2026,2,4,16,1B,Pete Alonso,BAL,Cruz Control
2026,2,5,17,SS,Francisco Lindor,NYM,My Filipina ❤️'s Dried Fish
2026,2,6,18,OF,Kyle Tucker,LAD,The Boss Hogg Brigade
2026,2,7,19,2B,Ketel Marte,ARI,Acuna & Friends
2026,2,8,20,2B,Jazz Chisholm Jr.,NYY,New York No Sox
2026,2,9,21,SS,Corey Seager,TEX,jd
2026,2,10,22,3B,Manny Machado,SD,Ball Knower
2026,2,11,23,SS,Trea Turner,PHI,Moonlight Graham
2026,2,12,24,SP,Logan Gilbert,SEA,The Hunter Gatherers
2026,3,1,25,UT,Kyle Schwarber,PHI,The Hunter Gatherers
2026,3,2,26,OF,Wyatt Langford,TEX,Moonlight Graham
2026,3,3,27,SP,Cole Ragans,KC,New York No Sox
2026,3,4,28,SP,Zack Wheeler,PHI,jd
2026,3,5,29,3B,Austin Riley,ATL,New York No Sox
2026,3,6,30,1B,Matt Olson,ATL,Acuna & Friends
2026,3,7,31,1B,Bryce Harper,PHI,The Boss Hogg Brigade
2026,3,8,32,UT,Rafael Devers,SF,Ball Knower
2026,3,9,33,2B,Brice Turang,MIL,Cruz Control
2026,3,10,34,SS,Mookie Betts,LAD,X BLADZ
2026,3,11,35,1B,Vinnie Pasquantino,KC,Lightning McLean
2026,3,12,36,1B,Josh Naylor,SEA,For Whom Skubal Tolls
2026,4,1,37,SP,Max Fried,NYY,For Whom Skubal Tolls
2026,4,2,38,OF,Jarren Duran,BOS,Lightning McLean
2026,4,3,39,SP,Logan Webb,SF,X BLADZ
2026,4,4,40,3B,Junior Caminero,TB,Cruz Control
2026,4,5,41,OF,Randy Arozarena,SEA,X BLADZ
2026,4,6,42,OF,Cody Bellinger,NYY,The Boss Hogg Brigade
2026,4,7,43,SS,Geraldo Perdomo,ARI,Ball Knower
2026,4,8,44,SP,George Kirby,SEA,New York No Sox
2026,4,9,45,1B,Freddie Freeman,LAD,jd
2026,4,10,46,SP,Framber Valdez,DET,Ball Knower
2026,4,11,47,OF,Riley Greene,DET,Moonlight Graham
2026,4,12,48,SP,Joe Ryan,MIN,The Hunter Gatherers
2026,5,1,49,OF,Tyler Soderstrom,ATH,New York No Sox
2026,5,2,50,C,Shea Langeliers,ATH,Moonlight Graham
2026,5,3,51,OF,Oneil Cruz,PIT,Ball Knower
2026,5,4,52,SP,Dylan Cease,TOR,jd
2026,5,5,53,SS,Bo Bichette,NYM,New York No Sox
2026,5,6,54,SP,Kyle Bradish,BAL,The Hunter Gatherers
2026,5,7,55,SP,Eury Perez,MIA,The Boss Hogg Brigade
2026,5,8,56,SP,Freddy Peralta,NYM,My Filipina ❤️'s Dried Fish
2026,5,9,57,UT,Yandy Diaz,TB,The Hunter Gatherers
2026,5,10,58,SP,Chris Sale,ATL,Acuna & Friends
2026,5,11,59,RP,Andres Munoz,SEA,The Hunter Gatherers
2026,5,12,60,UT,Christian Yelich,MIL,For Whom Skubal Tolls
2026,6,1,61,RP,Jhoan Duran,PHI,For Whom Skubal Tolls
2026,6,2,62,OF,Taylor Ward,BAL,The Hunter Gatherers
2026,6,3,63,SP,Spencer Strider,ATL,X BLADZ
2026,6,4,64,3B,Alex Bregman,CHC,Cruz Control
2026,6,5,65,RP,David Bednar,NYY,Moonlight Graham
2026,6,6,66,SP,Jacob Misiorowski,MIL,Moonlight Graham
2026,6,7,67,OF,Byron Buxton,MIN,Acuna & Friends
2026,6,8,68,2B,Luke Keaschall,MIN,New York No Sox
2026,6,9,69,C,Cal Raleigh,SEA,jd
2026,6,10,70,SP,Nick Lodolo,CIN,Ball Knower
2026,6,11,71,1B,Michael Busch,CHC,Moonlight Graham
2026,6,12,72,SP,Sonny Gray,BOS,Lightning McLean
2026,7,1,73,OF,Luis Robert Jr.,NYM,New York No Sox
2026,7,2,74,OF,Michael Harris II,ATL,My Filipina ❤️'s Dried Fish
2026,7,3,75,2B,Nico Hoerner,CHC,Ball Knower
2026,7,4,76,UT,Seiya Suzuki,CHC,jd
2026,7,5,77,SP,Emmet Sheehan,LAD,The Hunter Gatherers
2026,7,6,78,RP,Ryan Helsley,BAL,New York No Sox
2026,7,7,79,RP,Jeff Hoffman,TOR,The Boss Hogg Brigade
2026,7,8,80,RP,Josh Hader,HOU,Ball Knower
2026,7,9,81,OF,Teoscar Hernandez,LAD,Cruz Control
2026,7,10,82,OF,Brandon Nimmo,TEX,X BLADZ
2026,7,11,83,SP,Tyler Glasnow,LAD,Lightning McLean
2026,7,12,84,2B,Jose Altuve,HOU,For Whom Skubal Tolls
2026,8,1,85,C,William Contreras,MIL,For Whom Skubal Tolls
2026,8,2,86,OF,George Springer,TOR,Lightning McLean
2026,8,3,87,1B,Christian Walker,HOU,X BLADZ
2026,8,4,88,SP,Jesus Luzardo,PHI,Cruz Control
2026,8,5,89,SP,Tanner Bibee,CLE,jd
2026,8,6,90,SP,Bubba Chandler,PIT,The Boss Hogg Brigade
2026,8,7,91,OF,Jakob Marsee,MIA,Acuna & Friends
2026,8,8,92,RP,Trevor Megill,MIL,New York No Sox
2026,8,9,93,OF,Bryan Reynolds,PIT,jd
2026,8,10,94,OF,Kyle Stowers,MIA,Ball Knower
2026,8,11,95,SP,Kevin Gausman,TOR,Moonlight Graham
2026,8,12,96,OF,Andy Pages,LAD,The Hunter Gatherers
2026,9,1,97,OF,Steven Kwan,CLE,New York No Sox
2026,9,2,98,OF,Lawrence Butler,ATH,Moonlight Graham
2026,9,3,99,3B,Matt Chapman,SF,My Filipina ❤️'s Dried Fish
2026,9,4,100,2B,Ozzie Albies,ATL,The Boss Hogg Brigade
2026,9,5,101,RP,Daniel Palencia,CHC,The Hunter Gatherers
2026,9,6,102,SP,Brandon Woodruff,MIL,Acuna & Friends
2026,9,7,103,SP,Ryan Pepiot,TB,The Boss Hogg Brigade
2026,9,8,104,SP,Michael King,SD,My Filipina ❤️'s Dried Fish
2026,9,9,105,SP,MacKenzie Gore,TEX,Cruz Control
2026,9,10,106,C,Salvador Perez,KC,X BLADZ
2026,9,11,107,C,Drake Baldwin,ATL,Lightning McLean
2026,9,12,108,RP,Raisel Iglesias,ATL,For Whom Skubal Tolls
