"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*026t9*","Tyron Guerrero","BOS","RP","124","FA","35","LAA Wed 6:45PM","76.71","14%","-3%"
"*045qo*","Jazz Chisholm Jr.","NYY","2B,3B,INF","133","W <small>(Fri)</small>","28","COL Wed 7:05PM","75.45","99%","0%"
"*04o2w*","Ben Brown","CHC","SP,RP","138","FA","27","@MIL Wed 7:40PM","75.09","61%","-2%"
"*050w9*","Gunnar Henderson","BAL","SS,INF","165","W <small>(Fri)</small>","25","CLE Wed 6:35PM","73.34","99%","0%"
"*0429k*","Colin Holderman","CLE","RP","173","FA","30","@BAL Wed 6:35PM","72.89","14%","-2%"
"*02bu3*","Brandon Woodruff","MIL","SP","204","FA","33","CHC Wed 7:40PM","70.1","65%","0%"
"*0423e*","Anthony Bender","MIA","RP","215","FA","31","NYM Wed 6:40PM","69.59","13%","0%"
"*04pkt*","J.T. Ginn","ATH","SP,RP","232","FA","27","TOR 0<br/>@ATH 2 F","67.91","62%","-12%"
"*05oyx*","Peyton Gray","TEX","RP","251","FA","31","TEX 1<br/>@SEA 3","66.65","4%","0%"
"*05ym7*","Fernando Cruz","NYY","RP","275","FA","36","COL Wed 7:05PM","65.17","27%","-1%"
"*03btu*","Willi Castro","COL","1B,2B,3B,SS,INF,OF","284","FA","29","@NYY Wed 7:05PM","64.34","71%","-9%"
"*060ml*","Huascar Brazoban","CHW","SP,RP","286","FA","36","PIT Wed 7:40PM","64.31","12%","0%"
"*05138*","Matt Brash","SEA","RP","299","FA","28","TEX 1<br/>@SEA 3","64","32%","-1%"
"*03atq*","Willy Adames","SF","SS,INF","324","FA","31","STL 6<br/>@SF 1","63.04","79%","-1%"
"*04esc*","Keaton Winn","SF","RP","331","FA","28","STL 6<br/>@SF 1","62.86","12%","0%"
"*05yam*","Riley Martin","CHC","RP","335","FA","28","@MIL Wed 7:40PM","62.51","2%","0%"
"*0512q*","Justin Slaten","BOS","RP","341","FA","28","LAA Wed 6:45PM","62.14","12%","0%"
"*04q3y*","Grant Anderson","MIL","RP","363","FA","29","CHC Wed 7:40PM","61.08","4%","0%"
"*0519c*","Orlando Ribalta","WSH","RP","386","FA","28","WSH 2<br/>@SD 3","59.66","3%","0%"
