"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*02myt*","Steven Okert","HOU","RP","13","ThePhils","35","@PHI Wed 6:40PM","93.85","33%","-6%"
"*05r01*","Robert Suarez","ATL","RP","55","jd","35","TB Wed 7:15PM","83.48","74%","-1%"
"*06als*","Shohei Ohtani-P","LAD","SP","61","iKnoBall","32","CIN Wed 10:10PM","83.01","93%","-4%"
"*0510l*","Emerson Hancock","SEA","SP,RP","96","iKnoBall","27","TEX 1<br/>@SEA 3","79.69","81%","-1%"
"*04y4e*","Corbin Carroll","ARI","OF","119","NYX","26","@KC Wed 7:40PM","77.18","99%","0%"
"*05gsi*","Ceddanne Rafaela","BOS","2B,INF,OF","125","MG","25","LAA Wed 6:45PM","76.64","97%","-2%"
"*01ut7*","Nathan Eovaldi","TEX","SP","127","BVB","36","TEX 1<br/>@SEA 3","76.1","92%","-1%"
"*04ru5*","Andy Pages","LAD","OF","130","ThePhils","25","CIN Wed 10:10PM","76.04","93%","0%"
"*025it*","Jason Adam","SD","RP","134","ThePhils","35","WSH 2<br/>@SD 3","75.43","32%","0%"
"*0316v*","Jake Bauers","MIL","1B,INF,OF,RP","144","BVB","30","CHC Wed 7:40PM","74.51","89%","-1%"
"*05a2d*","Max Meyer","MIA","SP","150","AF","27","NYM Wed 6:40PM","74.13","87%","-1%"
"*04mnw*","Ryan Weathers","NYY","SP","159","THG","26","COL Wed 7:05PM","73.67","80%","-1%"
"*05u9q*","Jac Caglianone","KC","1B,INF,OF","184","THG","23","ARI Wed 7:40PM","71.99","98%","-1%"
"*03oh0*","Willson Contreras","BOS","1B,INF","186","2xChamp","34","LAA Wed 6:45PM","71.91","98%","0%"
"*04mlt*","Shane McClanahan","TB","SP","187","2xChamp","29","@ATL Wed 7:15PM","71.9","91%","-5%"
"*06aw3*","JJ Wetherholt","STL","2B,SS,INF","198","iKnoBall","23","STL 6<br/>@SF 1","71.02","97%","0%"
"*05jp9*","Bryce Elder","ATL","SP","201","MG","27","TB Wed 7:15PM","70.64","77%","-6%"
"*04n8z*","Xavier Edwards","MIA","2B,SS,INF","226","2xChamp","27","NYM Wed 6:40PM","68.36","96%","-1%"
"*03ae8*","Dansby Swanson","CHC","SS,INF","244","AF","32","@MIL Wed 7:40PM","67.21","83%","0%"
"*06f1r*","Connelly Early","WSH","SP","267","MG","24","WSH 2<br/>@SD 3","65.54","84%","0%"
"*062k5*","Nick Kurtz","ATH","1B,INF","304","jd","23","TOR 0<br/>@ATH 2 F","63.89","91%","0%"
"*04o4s*","Shea Langeliers","ATH","C","321","MG","28","TOR 0<br/>@ATH 2 F","63.19","89%","+1%"
"*05jp4*","Casey Schmitt","SF","1B,2B,3B,INF,OF","347","BHB","27","STL 6<br/>@SF 1","61.87","59%","-1%"
