team,intended_round,actual_round,slot,player
Cruz Control,2,2,3,Junior Caminero
Cruz Control,10,10,3,Brent Rooker
Cruz Control,15,15,3,Cristopher Sanchez
Cruz Control,14,14,3,Edwin Diaz
My Filipina ❤️'s Dried Fish,11,9,10,Sandy Alcantara
My Filipina ❤️'s Dried Fish,20,20,5,Gerrit Cole
My Filipina ❤️'s Dried Fish,20,20,6,Shane McClanahan
My Filipina ❤️'s Dried Fish,25,25,1,Jett Williams
For Whom Skubal Tolls,1,1,4,Tarik Skubal
For Whom Skubal Tolls,12,12,4,Mason Miller
For Whom Skubal Tolls,16,15,4,James Wood
For Whom Skubal Tolls,21,21,4,Carlos Rodon
Acuna & Friends,1,1,1,Ronald Acuna Jr.
Acuna & Friends,4,4,1,Byron Buxton
Acuna & Friends,17,17,10,Jackson Chourio
Acuna & Friends,25,22,1,Ian Seymour
Ball Knower,14,14,2,Jacob deGrom
Ball Knower,14,14,9,Blake Snell
Ball Knower,16,16,2,Jackson Merrill
Ball Knower,20,20,2,JJ Wetherholt
Moonlight Graham,11,11,7,Maikel Garcia
Moonlight Graham,15,15,7,Nick Pivetta
Moonlight Graham,18,18,7,Aroldis Chapman
Moonlight Graham,19,19,7,Ranger Suarez
The Boss Hogg Brigade,1,1,10,Elly De La Cruz
The Boss Hogg Brigade,3,3,1,Chris Sale
The Boss Hogg Brigade,14,14,10,Paul Skenes
The Boss Hogg Brigade,20,20,10,Chandler Simpson
jd,4,3,5,Cal Raleigh
jd,8,8,5,Garrett Crochet
jd,7,7,5,Pete Crow-Armstrong
jd,10,10,5,Nick Kurtz
X BLADZ,11,11,12,Brandon Lowe
X BLADZ,21,21,12,Zach Neto
X BLADZ,21,20,12,Chase Burns
X BLADZ,25,24,12,Walker Jenkins
The Hunter Gatherers,10,10,11,Hunter Goodman
The Hunter Gatherers,14,14,5,Kevin McGonigle
The Hunter Gatherers,15,15,11,CJ Abrams
The Hunter Gatherers,21,21,7,Jac Caglianone
New York No Sox,17,17,1,Konnor Griffin
New York No Sox,20,20,9,Ben Rice
New York No Sox,21,21,9,Roman Anthony
New York No Sox,25,25,9,A.J. Ewing
Lightning McLean,7,7,6,Drake Baldwin
Lightning McLean,10,10,6,Nolan McLean
Lightning McLean,11,11,6,Hunter Brown
Lightning McLean,23,23,6,Payton Tolle
