manager,team,round,player
Andrew,Cruz Control,2,Junior Caminero
Andrew,Cruz Control,10,Brent Rooker
Andrew,Cruz Control,15,Cristopher Sanchez
Andrew,Cruz Control,14,Edwin Diaz
Billy,My Filipina ❤️'s Dried Fish,11,Sandy Alcantara
Billy,My Filipina ❤️'s Dried Fish,20,Gerrit Cole
Billy,My Filipina ❤️'s Dried Fish,20,Shane McClanahan
Billy,My Filipina ❤️'s Dried Fish,25,Jett Williams
Blake,For Whom Skubal Tolls,1,Tarik Skubal
Blake,For Whom Skubal Tolls,12,Mason Miller
Blake,For Whom Skubal Tolls,16,James Wood
Blake,For Whom Skubal Tolls,21,Carlos Rodon
Connor,Acuna & Friends,1,Ronald Acuna Jr.
Connor,Acuna & Friends,4,Byron Buxton
Connor,Acuna & Friends,17,Jackson Chourio
Connor,Acuna & Friends,25,Ian Seymour
Evan,Ball Knower,14,Jacob deGrom
Evan,Ball Knower,14,Blake Snell
Evan,Ball Knower,16,Jackson Merrill
Evan,Ball Knower,20,JJ Wetherholt
Greg,Moonlight Graham,11,Maikel Garcia
Greg,Moonlight Graham,15,Nick Pivetta
Greg,Moonlight Graham,18,Aroldis Chapman
Greg,Moonlight Graham,19,Ranger Suarez
Joe,The Boss Hogg Brigade,1,Elly De La Cruz
Joe,The Boss Hogg Brigade,3,Chris Sale
Joe,The Boss Hogg Brigade,14,Paul Skenes
Joe,The Boss Hogg Brigade,20,Chandler Simpson
John,jd,4,Cal Raleigh
John,jd,8,Garrett Crochet
John,jd,7,Pete Crow-Armstrong
John,jd,10,Nick Kurtz
Johnny,X BLADZ,11,Brandon Lowe
Johnny,X BLADZ,21,Zach Neto
Johnny,X BLADZ,21,Chase Burns
Johnny,X BLADZ,25,Walker Jenkins
Kody,The Hunter Gatherers,10,Hunter Goodman
Kody,The Hunter Gatherers,14,Kevin McGonigle
Kody,The Hunter Gatherers,15,CJ Abrams
Kody,The Hunter Gatherers,21,Jac Caglianone
Rob,New York No Sox,17,Konnor Griffin
Rob,New York No Sox,20,Ben Rice
Rob,New York No Sox,21,Roman Anthony
Rob,New York No Sox,25,A.J. Ewing
Vinny,Lightning McLean,7,Drake Baldwin
Vinny,Lightning McLean,10,Nolan McLean
Vinny,Lightning McLean,11,Hunter Brown
Vinny,Lightning McLean,23,Payton Tolle
