"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*06l4y*","Logan VanWey","HOU","RP","276","FA","27","@PHI Wed 6:40PM","65.11","1%","0%"
"*061bn*","Austin Peterson","CLE","SP","285","FA","26","@BAL Wed 6:35PM","64.32","2%","0%"
"*02mzi*","Ty Blach","CHC","SP","300","FA","35","@MIL Wed 7:40PM","63.98","0%","0%"
"*028is*","Vince Velasquez","KC","SP","307","FA","34","ARI Wed 7:40PM","63.76","1%","0%"
"*03at0*","Kevin Herget","NYM","RP","312","FA","35","@MIA Wed 6:40PM","63.7","0%","0%"
"*06580*","Dylan Ross","NYM","SP,RP","313","FA","26","@MIA Wed 6:40PM","63.7","2%","0%"
"*060uk*","Jack Anderson","MIN","SP,RP","337","FA","26","MIN 2<br/>@DET 7","62.34","2%","0%"
"*06rtt*","Juan Burgos","ARI","RP","338","FA","26","@KC Wed 7:40PM","62.31","0%","0%"
"*050ih*","Jhony Brito","SD","RP","353","FA","28","WSH 2<br/>@SD 3","61.56","2%","0%"
"*04aqf*","Brian Keller","PHI","SP","371","FA","32","HOU Wed 6:40PM","60.42","1%","0%"
"*04eku*","John King","TEX","RP","372","FA","31","TEX 1<br/>@SEA 3","60.38","5%","0%"
"*05oqe*","Ty Madden","DET","SP,RP","430","FA","26","MIN 2<br/>@DET 7","57.32","16%","0%"
"*05xud*","Brett Kerry","LAA","SP","444","FA","27","@BOS Wed 6:45PM","56.9","2%","0%"
"*03qlm*","Tyler Ferguson","CHC","RP","468","FA","32","@MIL Wed 7:40PM","55.8","1%","0%"
"*05142*","Garrett Stallings","MIL","SP,RP","476","FA","29","CHC Wed 7:40PM","55.11","2%","0%"
"*06l49*","Eiberson Castellano","COL","RP","477","FA","25","@NYY Wed 7:05PM","55.05","2%","0%"
"*04ek8*","Connor Brogdon","CLE","RP","489","FA","31","@BAL Wed 6:35PM","54.41","2%","0%"
"*060pi*","Alimber Santa","HOU","RP","498","FA","23","@PHI Wed 6:40PM","53.78","5%","0%"
"*05gsw*","Yerry De Los Santos","NYY","RP","508","FA","28","COL Wed 7:05PM","53.01","1%","0%"
"*02xid*","Albert Suarez","BAL","RP","519","FA","36","CLE Wed 6:35PM","52.04","2%","0%"
"*041uv*","Jesse Scholtens","TB","RP","525","FA","32","@ATL Wed 7:15PM","51.91","4%","0%"
"*031d4*","Zack Littell","ARI","SP,RP","547","FA","30","@KC Wed 7:40PM","51","20%","0%"
"*04pzi*","Evan Sisk","PIT","RP","551","FA","29","@CHW Wed 7:40PM","50.97","3%","0%"
"*05r0r*","Enmanuel De Jesus","DET","SP,RP","552","FA","29","MIN 2<br/>@DET 7","50.96","3%","0%"
"*04pmk*","Michael Grove","TB","RP","555","FA","29","@ATL Wed 7:15PM","50.9","2%","0%"
"*02h9r*","Miles Mikolas","WSH","SP,RP","576","FA","38","WSH 2<br/>@SD 3","48.94","8%","0%"
"*04ejp*","James Karinchak","ATL","RP","585","FA","30","TB Wed 7:15PM","48.49","2%","0%"
"*04pqh*","Mason Englert","TB","SP,RP","589","FA","26","@ATL Wed 7:15PM","48.16","3%","0%"
"*04zay*","Kai-Wei Teng","HOU","SP,RP","594","FA","27","@PHI Wed 6:40PM","47.97","11%","-1%"
"*04q54*","Justin Hagenman","NYM","RP","601","FA","29","@MIA Wed 6:40PM","47.63","2%","-1%"
