"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","Ros","+/-"
"*05xq2*","Mitch Bratt","ARI","SP","937","XBLADZ","23","@KC Wed 7:40PM","28.87","20%","-1%"
"*041e3*","Braxton Garrett","CHC","SP","1359","iKnoBall","29","@MIL Wed 7:40PM","4.76","24%","0%"
"*06c78*","Franklin Arias","BOS","SS,INF","1792","jd","20","LAA Wed 6:45PM","0","55%","0%"
"*06f0q*","Kristian Campbell","BOS","2B,INF","2662","ThePhils","24","LAA Wed 6:45PM","0","46%","0%"
"*06c1j*","Cam Cannarella","MIA","OF","2682","jd","23","NYM Wed 6:40PM","0","29%","0%"
"*05ge1*","Ryan Clifford","NYM","1B,INF,OF","3043","MG","23","@MIA Wed 6:40PM","0","29%","0%"
"*06alk*","Charlie Condon","COL","1B,INF,OF","3113","jd","23","@NYY Wed 7:05PM","0","63%","0%"
"*061zv*","Josue De Paula","LAD","OF","3541","THG","21","CIN Wed 10:10PM","0","57%","0%"
"*067yc*","Leo De Vries","ATH","SS,INF","3546","BHB","19","TOR 0<br/>@ATH 2 F","0","63%","0%"
"*06mph*","Anthony Eyanson","BAL","SP","3988","jd","21","CLE Wed 6:35PM","0","42%","0%"
"*05u2m*","Theo Gillen","TB","OF","4523","2xChamp","20","@ATL Wed 7:15PM","0","47%","0%"
"*06pi0*","Eric Hartman","ATL","2B,INF,OF","4990","BHB","20","TB Wed 7:15PM","0","38%","0%"
"*067yn*","Seth Hernandez","PIT","SP","5158","BHB","20","@CHW Wed 7:40PM","0","57%","0%"
"*06eyu*","Zyhir Hope","DET","OF","5309","NYX","21","MIN 2<br/>@DET 7","0","51%","0%"
"*05rc5*","Termarr Johnson","PIT","2B,INF","5585","XBLADZ","22","@CHW Wed 7:40PM","0","27%","0%"
"*062h4*","Carlos Lagrange","NYY","SP","5883","XBLADZ","23","COL Wed 7:05PM","0","48%","0%"
"*06ibv*","Jesus Made","MIL","SS,INF","6307","BHB","19","CHC Wed 7:40PM","0","63%","0%"
"*062z7*","Karson Milbrandt","MIA","SP","6906","AF","22","NYM Wed 6:40PM","0","37%","0%"
"*06481*","Jacob Reimer","NYM","3B,INF","8290","NYX","22","@MIA Wed 6:40PM","0","24%","0%"
"*06mnp*","Rainiel Rodriguez","STL","C","8578","Ka-Chow","19","STL 6<br/>@SF 1","0","49%","0%"
"*061wh*","Jefferson Rojas","NYM","2B,SS,INF","8620","NYX","21","@MIA Wed 6:40PM","0","31%","0%"
"*05ynx*","River Ryan","DET","SP","8775","NYX","28","MIN 2<br/>@DET 7","0","48%","0%"
"*066ip*","Mike Sirota","LAD","OF","9222","XBLADZ","23","CIN Wed 10:10PM","0","47%","0%"
"*06ier*","Ryan Sloan","SEA","SP","9236","2xChamp","20","TEX 1<br/>@SEA 3","0","55%","0%"
"*066ir*","James Tibbs III","LAD","OF","9717","iKnoBall","23","CIN Wed 10:10PM","0","45%","0%"
"*067yp*","Ralphy Velazquez","CLE","1B,INF","10050","Ka-Chow","21","@BAL Wed 6:35PM","0","47%","0%"
"*0662o*","Sebastian Walcott","TEX","SS,INF","10177","THG","20","TEX 1<br/>@SEA 3","0","57%","0%"
"*06f1c*","Jack Wenninger","NYM","SP","10278","Ka-Chow","24","@MIA Wed 6:40PM","0","30%","0%"
"*05tp6*","Thomas White","MIA","SP","10327","THG","21","NYM Wed 6:40PM","0","59%","0%"
"*060la*","Jett Williams","MIL","2B,SS,INF,OF","10377","2xChamp","22","CHC Wed 7:40PM","0","49%","0%"
"*06n8y*","Eli Willits","WSH","SS,INF","10399","THG","18","WSH 2<br/>@SD 3","0","53%","0%"
